name,iso3,Name,Total received for P.1,Total received for P.2,Total received for P.3,Total received for P.4,Total received for P.5,Total received for P.6,Total received for P.7,Total received for D.1,Total received for D.2,Total received for D.3,Total received for D.4,Total received for R.1,Total received for R.2,Total received for R.3,Total received for R.4,Total received for R.5,Total received for RE,Total received for PoE,Total received for CE,Name,Total disbursed for P.1,Total disbursed for P.2,Total disbursed for P.3,Total disbursed for P.4,Total disbursed for P.5,Total disbursed for P.6,Total disbursed for P.7,Total disbursed for D.1,Total disbursed for D.2,Total disbursed for D.3,Total disbursed for D.4,Total disbursed for R.1,Total disbursed for R.2,Total disbursed for R.3,Total disbursed for R.4,Total disbursed for R.5,Total disbursed for RE,Total disbursed for PoE,Total disbursed for CE
Afghanistan,AFG,Afghanistan,102065045,,193611,26720947,33086014,,313305552,127753043,142689022,126696305,45894482,2337059,30153874,52303,6768581,69673,,2040364,,Afghanistan,102065045,,193611,26720947,33086014,,313305552,127753043,142689022,126696305,45894482,2337059,30153874,52303,6768581,69673,,2040364,
Albania,ALB,Albania,85545,,20104,4611935,1787474,,5527546,195875,90095,,3018933,19958,3986480,,19958,35794,,,,Albania,85545,,20104,4611935,1787474,,5527546,195875,90095,,3018933,19958,3986480,,19958,35794,,,
Algeria,DZA,Algeria,68933,,50210,14701043,10890,210,1199603,13555928,62491,14210,899570,11558783,94982,,,,,,,Algeria,68933,,50210,14701043,10890,210,1199603,13555928,62491,14210,899570,11558783,94982,,,,,,
American Samoa,ASM,American Samoa,877472,,2268,6883085,5579465,,40657,3838,1229342,669833,451176,1113333,365701,,,,,2523534,,American Samoa,877472,,2268,6883085,5579465,,40657,3838,1229342,669833,451176,1113333,365701,,,,,2523534,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Angola,91569527,,5397611,144268,,280881,72115559,109604819,208476637,199792695,24587336,1954926,31316619,,53743469,80618,,,,Angola,91569527,,5397611,144268,,280881,72115559,109604819,208476637,199792695,24587336,1954926,31316619,,53743469,80618,,,
Antigua and Barbuda,ATG,Antigua and Barbuda,24009,,3000,3000,,,4736,15110,10110,8398,23520,,,,,,,,,Antigua and Barbuda,24009,,3000,3000,,,4736,15110,10110,8398,23520,,,,,,,,
Argentina,ARG,Argentina,829136,,22359,1699872,123033,,13016637,1299612,2997237,586198,1467231,,150547876,,,,39102,,,Argentina,829136,,22359,1699872,123033,,13016637,1299612,2997237,586198,1467231,,150547876,,,,39102,,
Armenia,ARM,Armenia,16858024,,12334774,1404037,825155,,7787832,12132829,30273992,0,3661763,32824,653336,,11953927,17731,16575,,,Armenia,16858024,,12334774,1404037,825155,,7787832,12132829,30273992,0,3661763,32824,653336,,11953927,17731,16575,,
Aruba,ABW,Aruba,,,,,,,,142093,,,,,,,,,,,,Aruba,,,,,,,,142093,,,,,,,,,,,
Australia,AUS,Australia,,,,,,,74204,,,,,,,,,,,,,Australia,,,,,,,74204,,,,,,,,,,,,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Azerbaijan,753535,,34688993,222654,157905,,5309996,31424839,6212873,10068773,20891266,28068,692167,,28068,28068,160405,,,Azerbaijan,753535,,34688993,222654,157905,,5309996,31424839,6212873,10068773,20891266,28068,692167,,28068,28068,160405,,
Bahamas,BHS,Bahamas,18197,,5342,62230,56888,,201226,32405,89904,4665,2498177,4665,31168,,,14221,753,,,Bahamas,18197,,5342,62230,56888,,201226,32405,89904,4665,2498177,4665,31168,,,14221,753,,
Bahrain,BHR,Bahrain,2835,,639,3306,2765,,8394,3150,,,,,10074,,,,98,,,Bahrain,2835,,639,3306,2765,,8394,3150,,,,,10074,,,,98,,
Bangladesh,BGD,Bangladesh,125490364,,24757166,51991691,128880371,151217500,772148120,173012021,554207633,425111337,625746314,110372700,225761982,194827,13157050,20216859,3324827,8460680,,Bangladesh,125490364,,24757166,51991691,128880371,151217500,772148120,173012021,554207633,425111337,625746314,110372700,225761982,194827,13157050,20216859,3324827,8460680,
Barbados,BRB,Barbados,13130,,6567,7267,,1026124,9679,6816113,6674,574,2158664,,2734287,,,,,,,Barbados,13130,,6567,7267,,1026124,9679,6816113,6674,574,2158664,,2734287,,,,,,
Belarus,BLR,Belarus,4803,,5604688,593156,12952,,380500,54649925,65275,5566279,6069542,,1143553,,,,11050,,,Belarus,4803,,5604688,593156,12952,,380500,54649925,65275,5566279,6069542,,1143553,,,,11050,,
Belgium,BEL,Belgium,,,,49839,,,,,,,17082977,,,,22930,,,,,Belgium,,,,49839,,,,,,,17082977,,,,22930,,,,
Belize,BLZ,Belize,1535393,,32494,263069,64,1013,1105807,116883,6943136,1149,9106411,1013,531129,,,,461,,,Belize,1535393,,32494,263069,64,1013,1105807,116883,6943136,1149,9106411,1013,531129,,,,461,,
Benin,BEN,Benin,42587391,840000,3052308,777099,33333700,816,107745468,42158837,5813135,136679990,67433442,7507400,15995857,,34155831,,109197,191212754,,Benin,42587391,840000,3052308,777099,33333700,816,107745468,42158837,5813135,136679990,67433442,7507400,15995857,,34155831,,109197,191212754,
Bhutan,BTN,Bhutan,293013,,5752294,730402,2610994,,8364517,5881742,9959188,234750,6072035,23697,1329082,3047,13822,229525,133361,,,Bhutan,293013,,5752294,730402,2610994,,8364517,5881742,9959188,234750,6072035,23697,1329082,3047,13822,229525,133361,,
Bolivia,BOL,Bolivia,9127064,,91230,2496809,1751072,178025,21443666,61463115,365274,1444253,12013710,4784730,2248878,,5008250,19622,12324,,,Bolivia,9127064,,91230,2496809,1751072,178025,21443666,61463115,365274,1444253,12013710,4784730,2248878,,5008250,19622,12324,,
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,18537912,,2930061,4552104,194437,,5135347,536448,592020,,2261971,515611,730947,,21210,21210,14280,9013867,,Bosnia and Herzegovina,18537912,,2930061,4552104,194437,,5135347,536448,592020,,2261971,515611,730947,,21210,21210,14280,9013867,
Botswana,BWA,Botswana,1352328,,31119753,453620,409485,10627,2291435,65678902,40772967,19267458,115541640,390,16487636,824942,8393807,14058,3637,122680,,Botswana,1352328,,31119753,453620,409485,10627,2291435,65678902,40772967,19267458,115541640,390,16487636,824942,8393807,14058,3637,122680,
Brazil,BRA,Brazil,2407137,,175879,7873477,50005425,,4455157,60111177,51544048,908683,9184650,770065,183908575,,100000,100000,3077,22588,,Brazil,2407137,,175879,7873477,50005425,,4455157,60111177,51544048,908683,9184650,770065,183908575,,100000,100000,3077,22588,
British Indian Ocean Territory,IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Brunei Darussalam,,,,3380,,,,,,,,,,,,,,,,Brunei Darussalam,,,,3380,,,,,,,,,,,,,,,
Bulgaria,BGR,Bulgaria,4129,,14971,53592,9541,,28591,32694,80535,,,,80823,,,,2550,,,Bulgaria,4129,,14971,53592,9541,,28591,32694,80535,,,,80823,,,,2550,,
Burkina Faso,BFA,Burkina Faso,125802221,,6773664,41900582,40417533,9645301,235435240,90296870,52294768,310787243,75714440,25119405,19641976,396576,58869873,9967133,512155,1648124,,Burkina Faso,125802221,,6773664,41900582,40417533,9645301,235435240,90296870,52294768,310787243,75714440,25119405,19641976,396576,58869873,9967133,512155,1648124,
Burundi,BDI,Burundi,101240461,,30355,55414722,39539327,,192472360,42075712,79742355,21414692,124787738,27917868,170324258,313931,25131518,500698,,6233414,,Burundi,101240461,,30355,55414722,39539327,,192472360,42075712,79742355,21414692,124787738,27917868,170324258,313931,25131518,500698,,6233414,
Cabo Verde,CPV,Cabo Verde,43563,,46053,56395,33712,,444865,15723615,10319706,441966,7378321,1103716,1248897,,44352,44352,,,,Cabo Verde,43563,,46053,56395,33712,,444865,15723615,10319706,441966,7378321,1103716,1248897,,44352,44352,,,
Cambodia,KHM,Cambodia,32805537,,14230562,16990683,50756620,604007,99388980,161624102,192261509,8569288,86726322,3506771,120667984,,5706946,11205280,222853,10082551,,Cambodia,32805537,,14230562,16990683,50756620,604007,99388980,161624102,192261509,8569288,86726322,3506771,120667984,,5706946,11205280,222853,10082551,
Cameroon,CMR,Cameroon,61098555,,3616264,84459588,24824425,9964592,201127336,234622129,64420076,59171434,171849780,38542171,88843592,0,44194147,9847737,22195,2874178,,Cameroon,61098555,,3616264,84459588,24824425,9964592,201127336,234622129,64420076,59171434,171849780,38542171,88843592,0,44194147,9847737,22195,2874178,
Canada,CAN,Canada,24838,,,413235,54288,,,8145,,8785685,3090366,,886895,,,352516,,,,Canada,24838,,,413235,54288,,,8145,,8785685,3090366,,886895,,,352516,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Central African Republic,1608497,,1567245,2506004,5719000,,69090969,2326585,72263387,69455633,13963281,1645888,58308868,,1281974,1449839,,,,Central African Republic,1608497,,1567245,2506004,5719000,,69090969,2326585,72263387,69455633,13963281,1645888,58308868,,1281974,1449839,,,
Chad,TCD,Chad,12595355,,,13617,7321836,,137809919,4263109,82456678,49062841,53683055,4067968,13743566,,323934,323934,1526,3488368,,Chad,12595355,,,13617,7321836,,137809919,4263109,82456678,49062841,53683055,4067968,13743566,,323934,323934,1526,3488368,
Chile,CHL,Chile,610424,,7345809,7633054,2953,2115,1685101,147254,75474,0,198346,7325364,95018,,18551,3551,4979,,,Chile,610424,,7345809,7633054,2953,2115,1685101,147254,75474,0,198346,7325364,95018,,18551,3551,4979,,
China,CHN,China,6669606,,2168285,9126586,1223175,,50662300,6644255,39719258,7058477,25425528,4477336,9879639,,664937,1970323,265687,2080885,,China,6669606,,2168285,9126586,1223175,,50662300,6644255,39719258,7058477,25425528,4477336,9879639,,664937,1970323,265687,2080885,
Colombia,COL,Colombia,4200368,,2687667,1688493,5972564,22292,6100696,1433625,2711722,3910322,3328835,82579,1156090,254000,46318,46318,46627,182226,,Colombia,4200368,,2687667,1688493,5972564,22292,6100696,1433625,2711722,3910322,3328835,82579,1156090,254000,46318,46318,46627,182226,
Comoros,COM,Comoros,107330,,13716,3342008,339142,,14469425,3358369,22107602,2073752,4289327,,13434374,,,15617,1488,,,Comoros,107330,,13716,3342008,339142,,14469425,3358369,22107602,2073752,4289327,,13434374,,,15617,1488,,
Congo,COG,Congo,416999,,1323738,527363,14383450,,32151140,12578959,48624532,50383282,18089738,276140,1637191,,,38254,,,,Congo,416999,,1323738,527363,14383450,,32151140,12578959,48624532,50383282,18089738,276140,1637191,,,38254,,,
Cook Islands,COK,Cook Islands,1508150,,7203,10145,143827,,138831,49293,25986,129506,730841,,321483,,,17529,,,,Cook Islands,1508150,,7203,10145,143827,,138831,49293,25986,129506,730841,,321483,,,17529,,,
Costa Rica,CRI,Costa Rica,10544301,,19440,384346,119895,,1439999,266342,102613,139194,467554,23237,330270,,4800,35119,3975,,,Costa Rica,10544301,,19440,384346,119895,,1439999,266342,102613,139194,467554,23237,330270,,4800,35119,3975,,
Cote d'Ivoire,CIV,Cote d'Ivoire,211223379,,69873517,192241595,45432132,11280712,278935974,119581248,84799235,39969733,153524466,83098569,145218118,,40369894,13331968,,2748968,,Cote d'Ivoire,211223379,,69873517,192241595,45432132,11280712,278935974,119581248,84799235,39969733,153524466,83098569,145218118,,40369894,13331968,,2748968,
Croatia,HRV,Croatia,1964,,9084,5319,44065,,18075,53148,123463,919,,1041454,1720224,,,,44065,,,Croatia,1964,,9084,5319,44065,,18075,53148,123463,919,,1041454,1720224,,,,44065,,
Cuba,CUB,Cuba,29014,,67182,1027217,1929407,,5263482,84369,64281,29860,5291971,29860,603111,,,,5074,1279744,,Cuba,29014,,67182,1027217,1929407,,5263482,84369,64281,29860,5291971,29860,603111,,,,5074,1279744,
Curaçao,CUW,Curaçao,,,,,,,,,,,,,,,,,,,,Curaçao,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Cyprus,,,,,,,,,,,,,,,,,,,,Cyprus,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,Czech Republic,,,9189,36971,16102,,6756,22026,5332,769,769,,32601,,,,15924,,,Czech Republic,,,9189,36971,16102,,6756,22026,5332,769,769,,32601,,,,15924,,
Democratic People's Republic of Korea,PRK,Democratic People's Republic of Korea,,,17446528,984595,1025511,,63724564,10278109,32252140,108960,2336988,107505,13810233,,107505,107505,39836,,,Democratic People's Republic of Korea,,,17446528,984595,1025511,,63724564,10278109,32252140,108960,2336988,107505,13810233,,107505,107505,39836,,
Democratic Republic of the Congo,COD,Democratic Republic of the Congo,265629001,,9506925,26102941,15824172,1200000,1152420451,170347843,917527015,827988608,551828917,68429821,827864395,1651763,172830020,7526617,,22415597,,Democratic Republic of the Congo,265629001,,9506925,26102941,15824172,1200000,1152420451,170347843,917527015,827988608,551828917,68429821,827864395,1651763,172830020,7526617,,22415597,
Denmark,DNK,Denmark,,,,,,,,,,,,,,,,,,,,Denmark,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,Djibouti,67845,,39,4524,1534591,,10022117,10635735,22275889,31159669,2698386,,1380970,,,,,,,Djibouti,67845,,39,4524,1534591,,10022117,10635735,22275889,31159669,2698386,,1380970,,,,,,
Dominica,DMA,Dominica,9228,,6614,2000,,,186159,1791,704092,3688,58829,102301,186159,,102301,111529,4614,,,Dominica,9228,,6614,2000,,,186159,1791,704092,3688,58829,102301,186159,,102301,111529,4614,,
Dominican Republic,DOM,Dominican Republic,107060039,,80623,201305,197529,,2914321,164680398,155034547,1548706,19982369,28053,7586202,,154986,37676,23730,116026,,Dominican Republic,107060039,,80623,201305,197529,,2914321,164680398,155034547,1548706,19982369,28053,7586202,,154986,37676,23730,116026,
Ecuador,ECU,Ecuador,2524732,,2002414,224020,1060898,,2152199,11893846,11642039,742889,20329850,16440,1346146,10944229,,,4705,,,Ecuador,2524732,,2002414,224020,1060898,,2152199,11893846,11642039,742889,20329850,16440,1346146,10944229,,,4705,,
Egypt,EGY,Egypt,1437753,,1671002,6146152,765039,3192729,13207929,13320612,9826976,201873,13323277,7582257,311096942,330480,12924737,1483638,87739,661174,,Egypt,1437753,,1671002,6146152,765039,3192729,13207929,13320612,9826976,201873,13323277,7582257,311096942,330480,12924737,1483638,87739,661174,
El Salvador,SLV,El Salvador,392735,,18150012,52685,1060055,1030,1437416,27418278,19333085,15399218,11393642,29707,2768066,7880063,2608907,16558,,6197076,,El Salvador,392735,,18150012,52685,1060055,1030,1437416,27418278,19333085,15399218,11393642,29707,2768066,7880063,2608907,16558,,6197076,
Equatorial Guinea,GNQ,Equatorial Guinea,,,42536,94820,,94575,6876835,1632585,61056,51281,2609013,94613,540807,,,,,,,Equatorial Guinea,,,42536,94820,,94575,6876835,1632585,61056,51281,2609013,94613,540807,,,,,,
Eritrea,ERI,Eritrea,370156,,16102828,24059,441065,,56146271,1134214,67614225,60490642,11699377,156963,829211,,3738,3738,285,,,Eritrea,370156,,16102828,24059,441065,,56146271,1134214,67614225,60490642,11699377,156963,829211,,3738,3738,285,,
Estonia,EST,Estonia,7655,,68588,34386,,,53208,66651,64571,30108,0,30108,66677,,,,,,,Estonia,7655,,68588,34386,,,53208,66651,64571,30108,0,30108,66677,,,,,,
Eswatini,SWZ,Eswatini,19541908,,52612110,1492476,316797,,9054117,33509666,17007098,6040061,97606263,,144921928,357,2288888,25000,,28300677,,Eswatini,19541908,,52612110,1492476,316797,,9054117,33509666,17007098,6040061,97606263,,144921928,357,2288888,25000,,28300677,
Ethiopia,ETH,Ethiopia,264087417,,33762936,149731326,100625628,9417926,1046495120,433475300,180653448,876910371,1010689405,14510159,164658924,37153583,264315055,48681959,244758,18845849,,Ethiopia,264087417,,33762936,149731326,100625628,9417926,1046495120,433475300,180653448,876910371,1010689405,14510159,164658924,37153583,264315055,48681959,244758,18845849,
Falkland Islands (Malvinas),FLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federated States of Micronesia,FSM,Federated States of Micronesia,,,,28847,28847,,,55584,6568,,296328,,659884,,,,,,,Federated States of Micronesia,,,,28847,28847,,,55584,6568,,296328,,659884,,,,,,
Fiji,FJI,Fiji,9076347,,37782,1863403,441625,,33948973,3155007,10263863,685973,25694859,365383,520339,740380,,206560,85992,,,Fiji,9076347,,37782,1863403,441625,,33948973,3155007,10263863,685973,25694859,365383,520339,740380,,206560,85992,,
Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,France,816397,,3823,69266,,,,,,,,,,,,,,,,France,816397,,3823,69266,,,,,,,,,,,,,,,
French Polynesia,PYF,French Polynesia,,,,,17000,,7195,17000,,,,,13599,,,,17000,,,French Polynesia,,,,,17000,,7195,17000,,,,,13599,,,,17000,,
French Southern and Antarctic Lands,ATF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Gabon,263942,,47460,66353,165427,,4623853,5138435,3199474,392324,3557435,9784,675278,,36666,42926,171972,25130,,Gabon,263942,,47460,66353,165427,,4623853,5138435,3199474,392324,3557435,9784,675278,,36666,42926,171972,25130,
Gambia,GMB,Gambia,15700641,,242491,4793276,8507297,,28777948,6424043,85750282,242350,4987962,66834,10828771,,164414,129279,,,,Gambia,15700641,,242491,4793276,8507297,,28777948,6424043,85750282,242350,4987962,66834,10828771,,164414,129279,,,
Georgia,GEO,Georgia,43814387,,33835721,1277472,99342,3551972,5661549,6899003,47670181,190296,3397384,146580,684750,524303,120770,133805,24465,,,Georgia,43814387,,33835721,1277472,99342,3551972,5661549,6899003,47670181,190296,3397384,146580,684750,524303,120770,133805,24465,,
Germany,DEU,Germany,82474,,,,,,,82474,82474,82474,,,,,,,,,,Germany,82474,,,,,,,82474,82474,82474,,,,,,,,,
Ghana,GHA,Ghana,188007708,,12017152,19104483,14995835,7366385,196848662,190852164,558333573,308913239,227778594,7714540,20554012,3018882,79457225,37023978,289915,251001,,Ghana,188007708,,12017152,19104483,14995835,7366385,196848662,190852164,558333573,308913239,227778594,7714540,20554012,3018882,79457225,37023978,289915,251001,
Greece,GRC,Greece,1547,,19292,15131,92904,,179475,112196,38468,15131,,15131,262094,,,,92904,,,Greece,1547,,19292,15131,92904,,179475,112196,38468,15131,,15131,262094,,,,92904,,
Grenada,GRD,Grenada,136858,,2922,5185,,,240395,,13844,122044,51968,,232349,,,4862,5000,,,Grenada,136858,,2922,5185,,,240395,,13844,122044,51968,,232349,,,4862,5000,,
Guatemala,GTM,Guatemala,30210076,,30222740,1788131,98650868,,11857711,71284042,74688557,71166826,81253022,38359,12852273,1190530,11158808,636087,14546,4567,,Guatemala,30210076,,30222740,1788131,98650868,,11857711,71284042,74688557,71166826,81253022,38359,12852273,1190530,11158808,636087,14546,4567,
Guernsey,GGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Guinea,40542282,,6621178,85798931,22201569,10530604,83315042,47740924,70436883,165851270,84992720,31175746,60648024,,22544561,11144483,203373,28510672,,Guinea,40542282,,6621178,85798931,22201569,10530604,83315042,47740924,70436883,165851270,84992720,31175746,60648024,,22544561,11144483,203373,28510672,
Guinea Bissau,GNB,Guinea Bissau,1896808,,166087,1046403,15210097,,21587515,884495,1222077,341474,46272582,1134521,2021009,195623,43547391,920145,6386,,,Guinea Bissau,1896808,,166087,1046403,15210097,,21587515,884495,1222077,341474,46272582,1134521,2021009,195623,43547391,920145,6386,,
Guyana,GUY,Guyana,6216571,,1369529,113438,61302,,4111149,1073906,9463592,929952,13178713,8081,7113885,,,,39720,,,Guyana,6216571,,1369529,113438,61302,,4111149,1073906,9463592,929952,13178713,8081,7113885,,,,39720,,
Haiti,HTI,Haiti,22726940,,11298665,12244478,45429839,1974,202329991,202643966,176883792,78828510,240938327,24446427,89750419,704444,47445706,1030641,56155,29921807,,Haiti,22726940,,11298665,12244478,45429839,1974,202329991,202643966,176883792,78828510,240938327,24446427,89750419,704444,47445706,1030641,56155,29921807,
Holy See,VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,Honduras,67524352,,99335,7542129,55371834,,15095786,21034912,16960831,2199587,31665426,2894,32463775,1211829,2597230,13939,36522,260000,,Honduras,67524352,,99335,7542129,55371834,,15095786,21034912,16960831,2199587,31665426,2894,32463775,1211829,2597230,13939,36522,260000,
Hungary,HUN,Hungary,12267,,22006,1241,8302,,348550,78596,20765,,,,71661,,,,8302,,,Hungary,12267,,22006,1241,8302,,348550,78596,20765,,,,71661,,,,8302,,
Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,India,421297876,,21518722,73187826,6026841,219401,1366060950,107288691,847642714,161958475,127354066,1081683,62884663,6660269,3689525,39272084,1514542,12322489,,India,421297876,,21518722,73187826,6026841,219401,1366060950,107288691,847642714,161958475,127354066,1081683,62884663,6660269,3689525,39272084,1514542,12322489,
Indonesia,IDN,Indonesia,85945889,,334619331,95334900,9860650,23527647,121569986,332861851,468250426,109207709,118336316,17083861,73681476,2649493,11113931,181128683,652282,56579,,Indonesia,85945889,,334619331,95334900,9860650,23527647,121569986,332861851,468250426,109207709,118336316,17083861,73681476,2649493,11113931,181128683,652282,56579,
Iran,IRN,Iran,371400,,234075,372239,550769,,2620908,954874,1803238,877123,472091,115922,1000804,12254,54651,54651,120550,,,Iran,371400,,234075,372239,550769,,2620908,954874,1803238,877123,472091,115922,1000804,12254,54651,54651,120550,,
Iraq,IRQ,Iraq,3157802,,10300526,828344,1215999,3725369,75305273,1585797,13143307,7171032,21891909,2684667,5954379,1846154,3850,35403,33333,,592275,Iraq,3157802,,10300526,828344,1215999,3725369,75305273,1585797,13143307,7171032,21891909,2684667,5954379,1846154,3850,35403,33333,,592275
Ireland,IRL,Ireland,,,,,,,74204,,,,,,,,,,,,,Ireland,,,,,,,74204,,,,,,,,,,,,
Israel,ISR,Israel,,,,1117746,,,,1117746,1118616,,430000,,,,,,,63355,,Israel,,,,1117746,,,,1117746,1118616,,430000,,,,,,,63355,
Italy,ITA,Italy,,,,1070652,,,951382,,,,,,,,,,,,,Italy,,,,1070652,,,951382,,,,,,,,,,,,
Jamaica,JAM,Jamaica,486698,,195106,1466906,1480641,,542849,5837288,6615742,1348704,7585196,4187,1932427,,26255,293843,124907,1425350,,Jamaica,486698,,195106,1466906,1480641,,542849,5837288,6615742,1348704,7585196,4187,1932427,,26255,293843,124907,1425350,
Japan,JPN,Japan,,,,,,,,,,,,,,,,,,,,Japan,,,,,,,,,,,,,,,,,,,
Jersey,JEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,Jordan,37603712,,715404,2585144,357297,6963943,41495499,13401748,7033060,5380009,21612234,15344992,268523910,,319132,90871,6602682,106766,7218963,Jordan,37603712,,715404,2585144,357297,6963943,41495499,13401748,7033060,5380009,21612234,15344992,268523910,,319132,90871,6602682,106766,7218963
Kazakhstan,KAZ,Kazakhstan,19409716,,4640017,245953,223355,922175,4100792,2072695,1274961,864628,1169921,27538,2417032,,81695,27538,3083,,,Kazakhstan,19409716,,4640017,245953,223355,922175,4100792,2072695,1274961,864628,1169921,27538,2417032,,81695,27538,3083,,
Kenya,KEN,Kenya,871429240,,73423608,35122895,93007799,25511205,582621380,272377238,327996852,668813332,532560197,78428534,277642936,1601784,530611694,7371302,426435,16930625,,Kenya,871429240,,73423608,35122895,93007799,25511205,582621380,272377238,327996852,668813332,532560197,78428534,277642936,1601784,530611694,7371302,426435,16930625,
Kiribati,KIR,Kiribati,29202,,25703,23765,118204,,993215,2998,485991,118142,2095634,365383,206984,,12152,134753,63,99957,,Kiribati,29202,,25703,23765,118204,,993215,2998,485991,118142,2095634,365383,206984,,12152,134753,63,99957,
Kosovo,XKX,Kosovo,8360597,,,3389600,1624089,319404,4788080,1881647,19183111,1134854,1053940,4377259,20090365,,,,,,,Kosovo,8360597,,,3389600,1624089,319404,4788080,1881647,19183111,1134854,1053940,4377259,20090365,,,,,,
Kuwait,KWT,Kuwait,119195,,,,90,,554,9878,679,9788,9788,679,,,679,679,90,,,Kuwait,119195,,,,90,,554,9878,679,9788,9788,679,,,679,679,90,,
Kyrgyzstan,KGZ,Kyrgyzstan,92580068,,100473239,804635,22568665,69763,25598060,38262622,39673318,603754,20324486,96250,16220614,,250000,2739465,8878,,,Kyrgyzstan,92580068,,100473239,804635,22568665,69763,25598060,38262622,39673318,603754,20324486,96250,16220614,,250000,2739465,8878,,
Lao People's Democratic Republic,LAO,Lao People's Democratic Republic,4632108,,34988316,49474030,113410236,267013,111567798,51637588,45118927,42565650,33907193,3238720,51994557,,3724920,981508,524977,3913129,,Lao People's Democratic Republic,4632108,,34988316,49474030,113410236,267013,111567798,51637588,45118927,42565650,33907193,3238720,51994557,,3724920,981508,524977,3913129,
Latvia,LVA,Latvia,17722,,,,,,18085,,38247,,,,18008,,,,,,,Latvia,17722,,,,,,18085,,38247,,,,18008,,,,,,
