name,iso3,Name,Total received for P.1,Total received for P.2,Total received for P.3,Total received for P.4,Total received for P.5,Total received for P.6,Total received for P.7,Total received for D.1,Total received for D.2,Total received for D.3,Total received for D.4,Total received for R.1,Total received for R.2,Total received for R.3,Total received for R.4,Total received for R.5,Total received for RE,Total received for PoE,Total received for CE,Name,Total disbursed for P.1,Total disbursed for P.2,Total disbursed for P.3,Total disbursed for P.4,Total disbursed for P.5,Total disbursed for P.6,Total disbursed for P.7,Total disbursed for D.1,Total disbursed for D.2,Total disbursed for D.3,Total disbursed for D.4,Total disbursed for R.1,Total disbursed for R.2,Total disbursed for R.3,Total disbursed for R.4,Total disbursed for R.5,Total disbursed for RE,Total disbursed for PoE,Total disbursed for CE
Lebanon,LBN,Lebanon,10567527,,162587,3085294,1624498,,57104386,7020908,1251494,2375696,26313514,1958816,3753498,,9759,9759,98921,3306451,,Lebanon,10567527,,162587,3085294,1624498,,57104386,7020908,1251494,2375696,26313514,1958816,3753498,,9759,9759,98921,3306451,
Lesotho,LSO,Lesotho,2261504,,112677666,503996,1371437,,14982192,129634905,10147735,5048439,60945085,,40777204,0,7604203,,4593,3710,,Lesotho,2261504,,112677666,503996,1371437,,14982192,129634905,10147735,5048439,60945085,,40777204,0,7604203,,4593,3710,
Liberia,LBR,Liberia,51122032,,7370893,53176562,23393845,8479029,92724925,18000064,131208069,81587930,112427084,38419897,34081275,,31690171,35089503,26564,270640,,Liberia,51122032,,7370893,53176562,23393845,8479029,92724925,18000064,131208069,81587930,112427084,38419897,34081275,,31690171,35089503,26564,270640,
Libya,LBY,Libya,5603836,,2726,781423,4474183,370061,159912,450085,8158391,5846967,5518042,,3390503,,,37457,,23453,,Libya,5603836,,2726,781423,4474183,370061,159912,450085,8158391,5846967,5518042,,3390503,,,37457,,23453,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,Lithuania,105671,,14617,194175,5690729,,9383,28058,2521153,,11289855,,18154,,,,15843,,,Lithuania,105671,,14617,194175,5690729,,9383,28058,2521153,,11289855,,18154,,,,15843,,
Luxembourg,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,MDG,Madagascar,120501471,,7635505,4654268,27988911,18434,301582105,179220701,26551041,184521990,97549046,75394,154143581,,72935815,56960,185277,5056696,,Madagascar,120501471,,7635505,4654268,27988911,18434,301582105,179220701,26551041,184521990,97549046,75394,154143581,,72935815,56960,185277,5056696,
Malawi,MWI,Malawi,154012760,,46859936,7492604,67017343,,182040879,203565636,262465723,253086833,298504494,112211731,182798773,15083844,106936363,544038,29667,990006,,Malawi,154012760,,46859936,7492604,67017343,,182040879,203565636,262465723,253086833,298504494,112211731,182798773,15083844,106936363,544038,29667,990006,
Malaysia,MYS,Malaysia,696954,,55062,4968730,399,18015,139640,249078,4458243,243920,3055308,2942600,211271,,,23760,,56579,,Malaysia,696954,,55062,4968730,399,18015,139640,249078,4458243,243920,3055308,2942600,211271,,,23760,,56579,
Maldives,MDV,Maldives,2142643,,154701,251479,171272,,6517152,528589,5657759,119217,621081,14042,1624813,,,5470068,199049,,,Maldives,2142643,,154701,251479,171272,,6517152,528589,5657759,119217,621081,14042,1624813,,,5470068,199049,,
Mali,MLI,Mali,190006131,,6846367,45923316,53879481,6809242,313758013,46323752,146180331,70998484,243838082,23063577,201043378,,55855932,7018358,247014,13583577,,Mali,190006131,,6846367,45923316,53879481,6809242,313758013,46323752,146180331,70998484,243838082,23063577,201043378,,55855932,7018358,247014,13583577,
Malta,MLT,Malta,,,400,400,,,,,,,,,6400,,,,,,,Malta,,,400,400,,,,,,,,,6400,,,,,,
Marshall Islands,MHL,Marshall Islands,,,,48862,48862,,,40,,,134120,,212863,,,,,,,Marshall Islands,,,,48862,48862,,,40,,,134120,,212863,,,,,,
Mauritania,MRT,Mauritania,639931,,286673,98292,1772502,213429,43820021,19698525,19868330,1000628,7580178,97313,1160392,302408,23780,75114,29839,,,Mauritania,639931,,286673,98292,1772502,213429,43820021,19698525,19868330,1000628,7580178,97313,1160392,302408,23780,75114,29839,,
Mauritius,MUS,Mauritius,60311,,23815,1906694,16410,,84780,4049110,1983389,58113,22550,22550,98764,,,,,57007,,Mauritius,60311,,23815,1906694,16410,,84780,4049110,1983389,58113,22550,22550,98764,,,,,57007,
Mexico,MEX,Mexico,706677,,105914,432512,231961,253700,1679001,797559,1154169,261941,1631912,9878,789511,21752,9878,14732,69034,2996,,Mexico,706677,,105914,432512,231961,253700,1679001,797559,1154169,261941,1631912,9878,789511,21752,9878,14732,69034,2996,
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,Mongolia,39059435,,182740,3438202,1040357,,5160496,1944680,31484176,172668,3780841,583726,9953333,,26763,26763,162485,84774,,Mongolia,39059435,,182740,3438202,1040357,,5160496,1944680,31484176,172668,3780841,583726,9953333,,26763,26763,162485,84774,
Montenegro,MNE,Montenegro,820179,,7718,1237196,153972,,432860,162992,72589,,,,35041,,,,153972,,,Montenegro,820179,,7718,1237196,153972,,432860,162992,72589,,,,35041,,,,153972,,
Morocco,MAR,Morocco,145257402,,146932,33989088,60218,4534940,1366236,2272557,153169156,19476479,26452634,70960,369124,830480,,29464,17039,3749492,,Morocco,145257402,,146932,33989088,60218,4534940,1366236,2272557,153169156,19476479,26452634,70960,369124,830480,,29464,17039,3749492,
Mozambique,MOZ,Mozambique,387092966,,93359261,2221537,133558372,51213513,312951308,168055213,559523104,820680181,909746363,89965206,160034295,2777742,119853551,16405830,1204773,111917306,,Mozambique,387092966,,93359261,2221537,133558372,51213513,312951308,168055213,559523104,820680181,909746363,89965206,160034295,2777742,119853551,16405830,1204773,111917306,
Myanmar,MMR,Myanmar,37134853,,263942950,38568314,27637186,610992,311226512,43613161,49593031,257176445,49959082,5472250,106291883,478166,14128111,2096204,230437,8870062,,Myanmar,37134853,,263942950,38568314,27637186,610992,311226512,43613161,49593031,257176445,49959082,5472250,106291883,478166,14128111,2096204,230437,8870062,
Namibia,NAM,Namibia,14136881,,1462925,6923133,12142852,,4563168,9977090,65872940,78788780,44225805,6641668,26092496,3039598,1406539,51812,,7108980,,Namibia,14136881,,1462925,6923133,12142852,,4563168,9977090,65872940,78788780,44225805,6641668,26092496,3039598,1406539,51812,,7108980,
Nauru,NRU,Nauru,,,1686,1613,12,,6713079,85,2269,,102170,,26637,,,99857,12,99974,,Nauru,,,1686,1613,12,,6713079,85,2269,,102170,,26637,,,99857,12,99974,
Nepal,NPL,Nepal,58699268,,55810880,19567602,65235538,749856,174981533,56576780,64348132,203921293,182681547,31443055,48133365,197258,11704487,505267,576141,,,Nepal,58699268,,55810880,19567602,65235538,749856,174981533,56576780,64348132,203921293,182681547,31443055,48133365,197258,11704487,505267,576141,,
Netherlands,NLD,Netherlands,556911,,468469,211828,775430,,8517306,7351478,44450,4717771,235704,,,,468469,,,300929,,Netherlands,556911,,468469,211828,775430,,8517306,7351478,44450,4717771,235704,,,,468469,,,300929,
New Zealand,NZL,New Zealand,,,10935,10935,,,10243,3664,4429,3664,8093,,10243,,,,,,,New Zealand,,,10935,10935,,,10243,3664,4429,3664,8093,,10243,,,,,,
Nicaragua,NIC,Nicaragua,439256,,3453524,1881960,40935913,,17905179,35787838,26992411,1494703,26754492,13076,98540301,1151829,1396362,8050,13411,21138120,,Nicaragua,439256,,3453524,1881960,40935913,,17905179,35787838,26992411,1494703,26754492,13076,98540301,1151829,1396362,8050,13411,21138120,
Niger,NER,Niger,128158034,,2014967,60515806,2290229,,256721590,67302275,267512999,251581569,101234275,36366235,66124251,,84442701,285676,29043,2743426,,Niger,128158034,,2014967,60515806,2290229,,256721590,67302275,267512999,251581569,101234275,36366235,66124251,,84442701,285676,29043,2743426,
Nigeria,NGA,Nigeria,836996782,,25033186,110092737,21086899,2603665,1649851225,2314245157,1278511319,1517414399,581737460,4005697,239087045,1837676,514179287,356597143,112885,9921647,,Nigeria,836996782,,25033186,110092737,21086899,2603665,1649851225,2314245157,1278511319,1517414399,581737460,4005697,239087045,1837676,514179287,356597143,112885,9921647,
Niue,NIU,Niue,,,2884,2884,,,56187,1782,4518,1782,1945567,,56187,,,,,,,Niue,,,2884,2884,,,56187,1782,4518,1782,1945567,,56187,,,,,,
North Macedonia,MKD,North Macedonia,1186688,,2500790,2493408,1090125,,501517,95276,983254,348,1333264,315045,5361524,,20845,20845,,,,North Macedonia,1186688,,2500790,2493408,1090125,,501517,95276,983254,348,1333264,315045,5361524,,20845,20845,,,
Norway,NOR,Norway,,,,,,,,,,27060,,,,,,,,,,Norway,,,,,,,,,,27060,,,,,,,,,
Oman,OMN,Oman,68435,,58821,88222,1250,,181350,,159732,212703,,157050,189647,,100745,103445,7400,,,Oman,68435,,58821,88222,1250,,181350,,159732,212703,,157050,189647,,100745,103445,7400,,
Pakistan,PAK,Pakistan,21224185,,8781362,44603878,2715331,730646,1481865878,31680404,569980964,435480842,261325540,199438194,209126784,21428,51916777,28699402,17066,190956,,Pakistan,21224185,,8781362,44603878,2715331,730646,1481865878,31680404,569980964,435480842,261325540,199438194,209126784,21428,51916777,28699402,17066,190956,
Palau,PLW,Palau,717997,,,35125,35125,,,30114,6587,,6587,,39799,,,,,,,Palau,717997,,,35125,35125,,,30114,6587,,6587,,39799,,,,,,
Palestine,PSE,Palestine,691385,,423,1684606,1822623,,6756089,21072167,24082132,1791295,23821885,7934248,20459815,,647285,79030,1089032,,,Palestine,691385,,423,1684606,1822623,,6756089,21072167,24082132,1791295,23821885,7934248,20459815,,647285,79030,1089032,,
Panama,PAN,Panama,10254815,,46183,10650271,18699,,1601414,166925,157875,0,6678126,13228,679141,,150000,12775,4669,43928441,,Panama,10254815,,46183,10650271,18699,,1601414,166925,157875,0,6678126,13228,679141,,150000,12775,4669,43928441,
Papua New Guinea,PNG,Papua New Guinea,238312175,,61048188,150916166,1781902,297451,59921923,132245204,292513638,10006988,243631714,932817,9670953,50520,889223,840342,79560,70209735,,Papua New Guinea,238312175,,61048188,150916166,1781902,297451,59921923,132245204,292513638,10006988,243631714,932817,9670953,50520,889223,840342,79560,70209735,
Paraguay,PRY,Paraguay,12519406,,33238,846220,376186,,2398009,16978361,17818571,3632,21615801,176097,38164173,,172835,189530,3726,0,,Paraguay,12519406,,33238,846220,376186,,2398009,16978361,17818571,3632,21615801,176097,38164173,,172835,189530,3726,0,
Peru,PER,Peru,2485813,,26954347,3640142,1230228,358902,4816353,7574051,31308220,1262552,27362404,148596,677715,598608,8936,23142,14017,449137,,Peru,2485813,,26954347,3640142,1230228,358902,4816353,7574051,31308220,1262552,27362404,148596,677715,598608,8936,23142,14017,449137,
Philippines,PHL,Philippines,74352601,,47433879,2491971,1523139,200000,19859054,65533980,85079710,91482580,44029112,748965,12540345,,3378932,54817926,465256,1311493,,Philippines,74352601,,47433879,2491971,1523139,200000,19859054,65533980,85079710,91482580,44029112,748965,12540345,,3378932,54817926,465256,1311493,
Poland,POL,Poland,37755,,8339,6436,30118,,53319,77649,119786,,,,11438,,,,29652,,,Poland,37755,,8339,6436,30118,,53319,77649,119786,,,,11438,,,,29652,,
Portugal,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,Qatar,0,,,4622,30997,,5528,39983,,8987,8987,,9048,,,,30997,,,Qatar,0,,,4622,30997,,5528,39983,,8987,8987,,9048,,,,30997,,
Republic of Korea,KOR,Republic of Korea,,,,,,,,,,,,,,,,,,,,Republic of Korea,,,,,,,,,,,,,,,,,,,
Republic of Moldova,MDA,Republic of Moldova,303706,,11278230,733379,2444248,,6241464,23628618,33396914,10938570,7034159,107936,3807883,9452,17634,20286,,,,Republic of Moldova,303706,,11278230,733379,2444248,,6241464,23628618,33396914,10938570,7034159,107936,3807883,9452,17634,20286,,,
Romania,ROU,Romania,68324,,11568925,44391,9522,,382026,100135,66389,,,,4600903,,,,9522,,,Romania,68324,,11568925,44391,9522,,382026,100135,66389,,,,4600903,,,,9522,,
Russian Federation,RUS,Russian Federation,803409,,121075,254024,69943,,708989,467912,119118,,1334252,1584,1524388,,,,3430,,,Russian Federation,803409,,121075,254024,69943,,708989,467912,119118,,1334252,1584,1524388,,,,3430,,
Rwanda,RWA,Rwanda,84722537,,57015923,61149619,18903349,,103027418,227291354,322473126,218154377,226793381,1845103,121031754,,73690820,4404993,131705,285997,,Rwanda,84722537,,57015923,61149619,18903349,,103027418,227291354,322473126,218154377,226793381,1845103,121031754,,73690820,4404993,131705,285997,
Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,24855,,32153,29607,27141,,112529,2546,11401,,15667,,102733,78742,,8855,,,,Saint Kitts and Nevis,24855,,32153,29607,27141,,112529,2546,11401,,15667,,102733,78742,,8855,,,
Saint Lucia,LCA,Saint Lucia,1185020,,7527,2576,27307,,147027,1525138,275050,707,5645548,,2007210,78742,,9904,4952,,,Saint Lucia,1185020,,7527,2576,27307,,147027,1525138,275050,707,5645548,,2007210,78742,,9904,4952,,
Saint Martin,MAF,Saint Martin,,,,,,,,,,,12254,,,78742,,,,,,Saint Martin,,,,,,,,,,,12254,,,78742,,,,,
Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,90745,,5057,1402274,1390243,,165708,,161993,18399,1106656,161993,425849,78742,169512,172107,5057,1390243,,Saint Vincent and the Grenadines,90745,,5057,1402274,1390243,,165708,,161993,18399,1106656,161993,425849,78742,169512,172107,5057,1390243,
Samoa,WSM,Samoa,2841650,,111852,628792,50501,,3594405,3667966,4927145,98401,2065640,2756985,5909977,,338822,463453,,,,Samoa,2841650,,111852,628792,50501,,3594405,3667966,4927145,98401,2065640,2756985,5909977,,338822,463453,,,
San Marino,SMR,San Marino,,,,,,,,,,,12254,,,78742,,,,,,San Marino,,,,,,,,,,,12254,,,78742,,,,,
Sao Tome and Principe,STP,Sao Tome and Principe,17025,,122738,132980,51540,,5854882,12541313,22696782,7683140,1128950,,409639,,5936183,,403,,,Sao Tome and Principe,17025,,122738,132980,51540,,5854882,12541313,22696782,7683140,1128950,,409639,,5936183,,403,,
Saudi Arabia,SAU,Saudi Arabia,48472,,2098,1668566,,,942928,14120580,909318,0,28557,,265834,,,,,,,Saudi Arabia,48472,,2098,1668566,,,942928,14120580,909318,0,28557,,265834,,,,,,
Senegal,SEN,Senegal,202501171,30000,11190514,18818306,50365761,6984257,158654993,72116521,141626162,130510581,171274675,17219314,26775956,,33424228,7077785,22910,948055,,Senegal,202501171,30000,11190514,18818306,50365761,6984257,158654993,72116521,141626162,130510581,171274675,17219314,26775956,,33424228,7077785,22910,948055,
Serbia,SRB,Serbia,48093000,,1026133,6167814,1103577,38784,3486368,3273527,3329071,112244,4188548,102182,2075894,675878,63399,63399,411160,87311,,Serbia,48093000,,1026133,6167814,1103577,38784,3486368,3273527,3329071,112244,4188548,102182,2075894,675878,63399,63399,411160,87311,
Seychelles,SYC,Seychelles,145228,,1523,1064021,49901,,26813,65939,953468,,,,151107,,,30780,,,,Seychelles,145228,,1523,1064021,49901,,26813,65939,953468,,,,151107,,,30780,,,
Sierra Leone,SLE,Sierra Leone,48280093,,7101672,575230911,39286955,14587033,196401449,173118512,59843059,397792096,94132597,15310894,328037487,,25797917,11421091,6737,19129072,,Sierra Leone,48280093,,7101672,575230911,39286955,14587033,196401449,173118512,59843059,397792096,94132597,15310894,328037487,,25797917,11421091,6737,19129072,
Singapore,SGP,Singapore,,,,,,,,,,,,,,,,,,,,Singapore,,,,,,,,,,,,,,,,,,,
Sint Maarten,SXM,Sint Maarten,,,,,,,,,,,10870,,,77359,,,,,,Sint Maarten,,,,,,,,,,,10870,,,77359,,,,,
Slovakia,SVK,Slovakia,,,,3103,,,22213,,146004,,,,4425,,,,,,,Slovakia,,,,3103,,,22213,,146004,,,,4425,,,,,,
Slovenia,SVN,Slovenia,,,,11077,7500,,26918,1677,1305,,,,39936,,,,,,,Slovenia,,,,11077,7500,,26918,1677,1305,,,,39936,,,,,,
Solomon Islands,SLB,Solomon Islands,213658,,58094,93155,796792,,9696368,12313810,12609837,1455003,6299503,375447,4095770,,,157943,15610,71371,,Solomon Islands,213658,,58094,93155,796792,,9696368,12313810,12609837,1455003,6299503,375447,4095770,,,157943,15610,71371,
Somalia,SOM,Somalia,73763140,,2528777,15024431,21794668,35138,297777678,74099608,233779645,267536946,212226877,32134532,119996372,412450,998267,5458660,24,,,Somalia,73763140,,2528777,15024431,21794668,35138,297777678,74099608,233779645,267536946,212226877,32134532,119996372,412450,998267,5458660,24,,
South Africa,ZAF,South Africa,64893947,,40591651,6723117,1989979,1492538,122072035,132202441,296455802,77599621,766390905,83039,86418542,3922703,13173976,161927,6331,16441232,,South Africa,64893947,,40591651,6723117,1989979,1492538,122072035,132202441,296455802,77599621,766390905,83039,86418542,3922703,13173976,161927,6331,16441232,
South Sudan,SSD,South Sudan,61078116,65110,45567308,16606494,6740562,,230299496,17791229,186841428,721912372,173115603,154379552,410612759,57563,50377902,26773460,17726,,,South Sudan,61078116,65110,45567308,16606494,6740562,,230299496,17791229,186841428,721912372,173115603,154379552,410612759,57563,50377902,26773460,17726,,
Spain,ESP,Spain,,,,27253,,,,,,,,,,,,,,,,Spain,,,,27253,,,,,,,,,,,,,,,
Sri Lanka,LKA,Sri Lanka,1128394,,5768834,4007420,4808532,20799,6611691,21363695,22103490,4606926,55722169,1880825,16946256,,42447,,152903,42194,,Sri Lanka,1128394,,5768834,4007420,4808532,20799,6611691,21363695,22103490,4606926,55722169,1880825,16946256,,42447,,152903,42194,
Sudan,SDN,Sudan,45187830,,2143981,8744240,29509539,4534733,403473115,14519683,257809706,44633613,40990161,2398025,63228941,,18490,9090609,150109,18469133,,Sudan,45187830,,2143981,8744240,29509539,4534733,403473115,14519683,257809706,44633613,40990161,2398025,63228941,,18490,9090609,150109,18469133,
Suriname,SUR,Suriname,228260,,661575,476215,7662,,2056748,206430,5576407,7190766,276209,8699,291347,,,,,,,Suriname,228260,,661575,476215,7662,,2056748,206430,5576407,7190766,276209,8699,291347,,,,,,
Sweden,SWE,Sweden,,,,,,,,,,,,,,,,,,,,Sweden,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Switzerland,,,,1363824,,,,,,2685,,,,,,,,,,Switzerland,,,,1363824,,,,,,2685,,,,,,,,,
Syrian Arab Republic,SYR,Syrian Arab Republic,48599,,1495094,163101,7396182,,63266267,3326635,11797872,19999795,41816972,15829033,7268363,,217379,926532,12381,8082665,15300000,Syrian Arab Republic,48599,,1495094,163101,7396182,,63266267,3326635,11797872,19999795,41816972,15829033,7268363,,217379,926532,12381,8082665,15300000
Taiwan,TWN,Taiwan,,,,,,,,,,,,,,,,,,,,Taiwan,,,,,,,,,,,,,,,,,,,
Tajikistan,TJK,Tajikistan,20523374,,674693,13420345,7906880,2137015,39873447,34048338,13810217,4456408,5252067,43570,28578197,1231880,37363515,10532,521174,,,Tajikistan,20523374,,674693,13420345,7906880,2137015,39873447,34048338,13810217,4456408,5252067,43570,28578197,1231880,37363515,10532,521174,,
Thailand,THA,Thailand,88441,,41261265,7154121,509679,155000,6599445,126379491,130640266,574489,5783809,9712230,1910333,0,2365342,275570,261082,306075,,Thailand,88441,,41261265,7154121,509679,155000,6599445,126379491,130640266,574489,5783809,9712230,1910333,0,2365342,275570,261082,306075,
Timor-Leste,TLS,Timor-Leste,533194,,6973831,380700,7983782,54946,14355943,21322688,22287305,16831065,33591049,592488,3365640,,344278,6486007,141855,299960,,Timor-Leste,533194,,6973831,380700,7983782,54946,14355943,21322688,22287305,16831065,33591049,592488,3365640,,344278,6486007,141855,299960,
Togo,TGO,Togo,4302566,,349591,5702667,2024729,23793,83980244,5973806,15765992,109704457,170017662,6236943,7144348,,373120,532246,19494,495400,,Togo,4302566,,349591,5702667,2024729,23793,83980244,5973806,15765992,109704457,170017662,6236943,7144348,,373120,532246,19494,495400,
Tonga,TON,Tonga,4503721,,4315,805701,223270,,1682743,542914,6626376,51653,7424602,365383,1664898,,,425443,38027,,,Tonga,4503721,,4315,805701,223270,,1682743,542914,6626376,51653,7424602,365383,1664898,,,425443,38027,,
Trinidad and Tobago,TTO,Trinidad and Tobago,203490,,40016,91826,285181,,326055,281002,131790,27193,963305,29210,220725,,10889,27017,681,,,Trinidad and Tobago,203490,,40016,91826,285181,,326055,281002,131790,27193,963305,29210,220725,,10889,27017,681,,
Tunisia,TUN,Tunisia,8210179,,1304355,1931027,422838,6771255,559999,7592950,1335408,14682,5867366,162306,4341668,,137196,153413,1839850,603272,,Tunisia,8210179,,1304355,1931027,422838,6771255,559999,7592950,1335408,14682,5867366,162306,4341668,,137196,153413,1839850,603272,
Turkey,TUR,Turkey,2476,,117476,300302,8047,,1981461,957813,933420,96563194,71511179,6619,345017139,,68368,,308953,,,Turkey,2476,,117476,300302,8047,,1981461,957813,933420,96563194,71511179,6619,345017139,,68368,,308953,,
Turkmenistan,TKM,Turkmenistan,7842232,,86869,179781,547074,,1430339,6514856,495372,,18724,153,535436,,,,447006,,,Turkmenistan,7842232,,86869,179781,547074,,1430339,6514856,495372,,18724,153,535436,,,,447006,,
Tuvalu,TUV,Tuvalu,616684,,28794,441719,17582,,975533,47540,1342862,5996,227311,365383,975533,,12152,,12750,119224,,Tuvalu,616684,,28794,441719,17582,,975533,47540,1342862,5996,227311,365383,975533,,12152,,12750,119224,
Uganda,UGA,Uganda,269565600,,26876554,30104195,77666871,6763780,644501210,652872408,1085726890,807149483,944962673,27892744,251258111,18803350,194149919,85089310,,221581941,,Uganda,269565600,,26876554,30104195,77666871,6763780,644501210,652872408,1085726890,807149483,944962673,27892744,251258111,18803350,194149919,85089310,,221581941,
Ukraine,UKR,Ukraine,365566937,,353358710,3894860,3230522,12785766,12486243,16095158,362960800,8561011,21744974,228022,4589457,,194511,75485,612961,152385,1869999,Ukraine,365566937,,353358710,3894860,3230522,12785766,12486243,16095158,362960800,8561011,21744974,228022,4589457,,194511,75485,612961,152385,1869999
United Arab Emirates,ARE,United Arab Emirates,,,2786,2786,7142,,28,7142,4589,,,,5363,,,,7142,,,United Arab Emirates,,,2786,2786,7142,,28,7142,4589,,,,5363,,,,7142,,
United Kingdom,GBR,United Kingdom,2602336,,3077012,3316389,,,928761,6620330,484697,122605557,13383648,,,,2747580,,,,,United Kingdom,2602336,,3077012,3316389,,,928761,6620330,484697,122605557,13383648,,,,2747580,,,,
United Republic of Tanzania,TZA,United Republic of Tanzania,455652624,,15103967,65220705,69492874,5583791,998954778,1188338388,469067573,538641714,755052467,8073951,335804747,7317841,217200863,68812783,476177,3454853,,United Republic of Tanzania,455652624,,15103967,65220705,69492874,5583791,998954778,1188338388,469067573,538641714,755052467,8073951,335804747,7317841,217200863,68812783,476177,3454853,
United States of America,USA,United States of America,8710,,1697724,7921978,7500,8710,5832131,831421,11700,,,,7200,,171178,,,,,United States of America,8710,,1697724,7921978,7500,8710,5832131,831421,11700,,,,7200,,171178,,,,
Uruguay,URY,Uruguay,68777,,43150,112073,,,130196,233278,4404243,0,348006,,127327,,,8999,,,,Uruguay,68777,,43150,112073,,,130196,233278,4404243,0,348006,,127327,,,8999,,,
Uzbekistan,UZB,Uzbekistan,18226868,,498341,306900,18830,5479,125128401,91819002,45531331,3365906,21685656,271424,66403690,,,,,2659258,,Uzbekistan,18226868,,498341,306900,18830,5479,125128401,91819002,45531331,3365906,21685656,271424,66403690,,,,,2659258,
Vanuatu,VUT,Vanuatu,180620,,20350,654637,1229320,,7005019,2098374,11055861,1256204,18813659,465484,6642137,,,347213,26181,5251244,,Vanuatu,180620,,20350,654637,1229320,,7005019,2098374,11055861,1256204,18813659,465484,6642137,,,347213,26181,5251244,
"Venezuela, Bolivarian Republic of",VEN,"Venezuela, Bolivarian Republic of",3936371,,8826,95623,1231739,,2515348,5003730,760254,35524,511789,,624608,,,671033,,,,"Venezuela, Bolivarian Republic of",3936371,,8826,95623,1231739,,2515348,5003730,760254,35524,511789,,624608,,,671033,,,
Viet Nam,VNM,Viet Nam,30881537,,23954518,43811331,8834693,2493994,117262633,209517899,86308953,12330644,137924209,5425834,11830816,1997955,1497889,4409618,471100,8952043,,Viet Nam,30881537,,23954518,43811331,8834693,2493994,117262633,209517899,86308953,12330644,137924209,5425834,11830816,1997955,1497889,4409618,471100,8952043,
Wallis and Futuna,WLF,Wallis and Futuna,,,,,,,,,,,,,,,,,,,,Wallis and Futuna,,,,,,,,,,,,,,,,,,,
Western Sahara,SAH,Western Sahara,6328,,,661995,652561,,,410419,75580,,359259,,106041,,,,,,,Western Sahara,6328,,,661995,652561,,,410419,75580,,359259,,106041,,,,,,
Yemen,YEM,Yemen,10695112,,3456,,10614935,,432639288,25518051,9745192,15611754,60042720,53014255,830805671,0,619047,2071297,1683,,,Yemen,10695112,,3456,,10614935,,432639288,25518051,9745192,15611754,60042720,53014255,830805671,0,619047,2071297,1683,,
Zambia,ZMB,Zambia,162958765,,402979512,39004573,15564275,165339,288239827,914300083,131512532,561567752,727084931,19309944,279124947,4258221,267327789,31138424,53959,4874458,,Zambia,162958765,,402979512,39004573,15564275,165339,288239827,914300083,131512532,561567752,727084931,19309944,279124947,4258221,267327789,31138424,53959,4874458,
Zimbabwe,ZWE,Zimbabwe,53471356,,13529025,4162014,6354187,,367330771,35805849,349639382,310913822,427813668,46937569,128965808,1061293,21698932,951234,3699,13025,,Zimbabwe,53471356,,13529025,4162014,6354187,,367330771,35805849,349639382,310913822,427813668,46937569,128965808,1061293,21698932,951234,3699,13025,
