risk_index,iso3,year,score,rank,meaning
ghsi,USA,2021,75.9,1,least vulnerable
ghsi,AUS,2021,71.1,2,
ghsi,FIN,2021,70.9,3,
ghsi,CAN,2021,69.8,4,
ghsi,THA,2021,68.2,5,
ghsi,SVN,2021,67.8,6,
ghsi,GBR,2021,67.2,7,
ghsi,DEU,2021,65.5,8,
ghsi,KOR,2021,65.4,9,
ghsi,SWE,2021,64.9,10,
ghsi,NLD,2021,64.7,11,
ghsi,DNK,2021,64.4,12,
ghsi,NZL,2021,62.5,13,
ghsi,FRA,2021,61.9,14,
ghsi,LVA,2021,61.9,14,
ghsi,ARM,2021,61.8,16,
ghsi,ESP,2021,60.9,17,
ghsi,JPN,2021,60.5,18,
ghsi,NOR,2021,60.2,19,
ghsi,BGR,2021,59.9,20,
ghsi,LTU,2021,59.5,21,
ghsi,BEL,2021,59.3,22,
ghsi,CHE,2021,58.8,23,
ghsi,SGP,2021,57.4,24,
ghsi,MEX,2021,57,25,
ghsi,AUT,2021,56.9,26,
ghsi,MYS,2021,56.4,27,
ghsi,CHL,2021,56.2,28,
ghsi,POL,2021,55.7,29,
ghsi,EST,2021,55.5,30,
ghsi,IRL,2021,55.3,31,
ghsi,PER,2021,54.9,32,
ghsi,PRT,2021,54.7,33,
ghsi,ARG,2021,54.4,34,
ghsi,HUN,2021,54.4,34,
ghsi,SVK,2021,54.4,34,
ghsi,PAN,2021,53.5,37,
ghsi,COL,2021,53.2,38,
ghsi,CZE,2021,52.8,39,
ghsi,GEO,2021,52.6,40,
ghsi,ITA,2021,51.9,41,
ghsi,GRC,2021,51.5,42,
ghsi,BRA,2021,51.2,43,
ghsi,ECU,2021,50.8,44,
ghsi,IDN,2021,50.4,45,
ghsi,TUR,2021,50,46,
ghsi,RUS,2021,49.1,47,
ghsi,HRV,2021,48.8,48,
ghsi,QAT,2021,48.7,49,
ghsi,ISL,2021,48.5,50,
ghsi,LUX,2021,48.4,51,
ghsi,CHN,2021,47.5,52,
ghsi,ISR,2021,47.2,53,
ghsi,LIE,2021,46.4,54,
ghsi,KAZ,2021,46.1,55,
ghsi,ZAF,2021,45.8,56,
ghsi,PHL,2021,45.7,57,
ghsi,ROU,2021,45.7,57,
ghsi,ALB,2021,45,59,
ghsi,SRB,2021,45,59,
ghsi,SAU,2021,44.9,61,
ghsi,MNE,2021,44.1,62,
ghsi,BLR,2021,43.9,63,
ghsi,BRN,2021,43.5,64,
ghsi,VNM,2021,42.9,65,
ghsi,IND,2021,42.8,66,
ghsi,JOR,2021,42.8,66,
ghsi,KGZ,2021,42.4,68,
ghsi,MKD,2021,42.2,69,
ghsi,CYP,2021,41.9,70,
ghsi,MDA,2021,41,71,
ghsi,MNG,2021,41,71,
ghsi,CRI,2021,40.8,73,
ghsi,SLV,2021,40.8,73,
ghsi,PRY,2021,40.3,75,
ghsi,URY,2021,40.3,75,
ghsi,MLT,2021,40.2,77,
ghsi,BTN,2021,39.8,78,
ghsi,MUS,2021,39.7,79,
ghsi,ARE,2021,39.6,80,
ghsi,OMN,2021,39.1,81,
ghsi,UZB,2021,39,82,
ghsi,UKR,2021,38.9,83,
ghsi,KEN,2021,38.8,84,
ghsi,MMR,2021,38.3,85,
ghsi,NGA,2021,38,86,
ghsi,ETH,2021,37.8,87,
ghsi,KWT,2021,36.8,88,
ghsi,TTO,2021,36.8,88,
ghsi,IRN,2021,36.5,90,
ghsi,UGA,2021,36.5,90,
ghsi,BHR,2021,36.3,92,
ghsi,NIC,2021,36.3,92,
ghsi,LBR,2021,35.7,94,
ghsi,BGD,2021,35.5,95,
ghsi,BIH,2021,35.4,96,
ghsi,SUR,2021,35,97,
ghsi,BRB,2021,34.9,98,
ghsi,LAO,2021,34.8,99,
ghsi,AND,2021,34.7,100,
ghsi,AZE,2021,34.7,100,
ghsi,LCA,2021,34.7,100,
ghsi,DOM,2021,34.5,103,
ghsi,GHA,2021,34.3,104,
ghsi,CPV,2021,34.1,105,
ghsi,LKA,2021,34.1,105,
ghsi,NPL,2021,34,107,
ghsi,BWA,2021,33.6,108,
ghsi,MAR,2021,33.6,108,
ghsi,VCT,2021,33.5,110,
ghsi,LBN,2021,33.4,111,
ghsi,MCO,2021,33.3,112,
ghsi,RWA,2021,33.1,113,
ghsi,SMR,2021,32.9,114,
ghsi,SEN,2021,32.8,115,
ghsi,SLE,2021,32.7,116,
ghsi,ZWE,2021,32.4,117,
ghsi,MDV,2021,32,118,
ghsi,TKM,2021,31.9,119,
ghsi,JAM,2021,31.8,120,
ghsi,SYC,2021,31.8,120,
ghsi,KNA,2021,31.7,122,
ghsi,TUN,2021,31.5,123,
ghsi,TZA,2021,31.3,124,
ghsi,CIV,2021,31.2,125,
ghsi,KHM,2021,31.1,126,
ghsi,LSO,2021,30.9,127,
ghsi,GUY,2021,30.8,128,
ghsi,CUB,2021,30.5,129,
ghsi,HTI,2021,30.4,130,
ghsi,MDG,2021,30.4,130,
ghsi,MOZ,2021,30.4,130,
ghsi,PAK,2021,30.4,130,
ghsi,NAM,2021,30.3,134,
ghsi,BHS,2021,30.1,135,
ghsi,ATG,2021,30,136,
ghsi,BOL,2021,29.9,137,
ghsi,BFA,2021,29.8,138,
ghsi,BLZ,2021,29.7,139,
ghsi,SWZ,2021,29.3,140,
ghsi,TJK,2021,29.3,140,
ghsi,AGO,2021,29.1,142,
ghsi,GTM,2021,29.1,142,
ghsi,MLI,2021,29,144,
ghsi,AFG,2021,28.8,145,
ghsi,WSM,2021,28.8,145,
ghsi,GMB,2021,28.7,147,
ghsi,NER,2021,28.7,147,
ghsi,CMR,2021,28.6,149,
ghsi,FSM,2021,28.5,150,
ghsi,MWI,2021,28.5,150,
ghsi,SDN,2021,28.3,152,
ghsi,EGY,2021,28,153,
ghsi,TGO,2021,27.8,154,
ghsi,TLS,2021,27.8,154,
ghsi,GIN,2021,26.8,156,
ghsi,GRD,2021,26.7,157,
ghsi,STP,2021,26.6,158,
ghsi,ZMB,2021,26.5,159,
ghsi,DMA,2021,26.4,160,
ghsi,TON,2021,26.4,160,
ghsi,COG,2021,26.3,162,
ghsi,DZA,2021,26.2,163,
ghsi,HND,2021,26.2,163,
ghsi,KIR,2021,26.2,163,
ghsi,MRT,2021,26.2,163,
ghsi,COD,2021,26.1,167,
ghsi,VUT,2021,25.9,168,
ghsi,FJI,2021,25.8,169,
ghsi,PLW,2021,25.5,170,
ghsi,BEN,2021,25.4,171,
ghsi,LBY,2021,25.3,172,
ghsi,DJI,2021,25.2,173,
ghsi,PNG,2021,25,174,
ghsi,COM,2021,24.9,175,
ghsi,MHL,2021,24.6,176,
ghsi,IRQ,2021,24,177,
ghsi,TCD,2021,23.9,178,
ghsi,SLB,2021,23.3,180,
ghsi,BDI,2021,22.1,181,
ghsi,GAB,2021,21.8,182,
ghsi,ERI,2021,21.4,183,
ghsi,GNB,2021,21.4,183,
ghsi,SSD,2021,21.3,185,
ghsi,VEN,2021,20.9,186,
ghsi,TUV,2021,20,188,
ghsi,CAF,2021,18.6,189,
ghsi,NRU,2021,18,190,
ghsi,GNQ,2021,17.4,191,
ghsi,SYR,2021,16.7,192,
ghsi,PRK,2021,16.1,193,
ghsi,YEM,2021,16.1,193,
ghsi,SOM,2021,16,195,most vulnerable
ghsi,ABW,2021,,,No data
ghsi,ASM,2021,,,No data
ghsi,ATF,2021,,,No data
ghsi,COK,2021,,,No data
ghsi,CUW,2021,,,No data
ghsi,CYM,2021,,,No data
ghsi,FLK,2021,,,No data
ghsi,FRO,2021,,,No data
ghsi,GGY,2021,,,No data
ghsi,IOT,2021,,,No data
ghsi,JEY,2021,,,No data
ghsi,MAF,2021,,,No data
ghsi,NIU,2021,,,No data
ghsi,PSE,2021,,,No data
ghsi,PYF,2021,,,No data
ghsi,SAH,2021,,,No data
ghsi,SXM,2021,,,No data
ghsi,TWN,2021,,,No data
ghsi,VAT,2021,,,No data
ghsi,VGB,2021,,,No data
ghsi,WLF,2021,,,No data
ghsi,XKX,2021,,,No data
ghsi,GUF,2021,,,No data